match_id,date,kickoff_hour_utc,stadium_name,city,country,elevation_meters,timezone,temp_celsius,humidity_pct,feels_like_celsius,precipitation_mm,wind_speed_kmh,cloud_cover_pct,heat_index_celsius,heat_stress_category,above_fifa_threshold_32c,collected_at
32,2026-06-19,23,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,538,America/Mexico_City,24.3,92,29.2,0.3,3.3,100,24.3,Low,0,2026-08-02T10:18:37.909172+00:00
33,2026-06-20,15,Boston Stadium (Gillette Stadium),Foxborough,USA,87,America/New_York,25.3,39,23.5,0.0,22.5,52,25.3,Low,0,2026-08-02T10:18:42.443361+00:00
34,2026-06-20,18,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,264,America/Chicago,27.9,53,29.4,0.0,7.9,98,28.61,Moderate,0,2026-08-02T10:18:44.227040+00:00
35,2026-06-20,21,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,3,America/New_York,24.1,42,22.9,0.0,8.9,2,24.1,Low,0,2026-08-02T10:18:46.646881+00:00
36,2026-06-20,23,Seattle Stadium (Lumen Field),Seattle,USA,3,America/Los_Angeles,15.8,67,14.0,0.0,11.6,0,15.8,Low,0,2026-08-02T10:18:49.259553+00:00
37,2026-06-21,15,Houston Stadium (NRG Stadium),Houston,USA,14,America/Chicago,29.9,75,35.1,0.2,13.5,91,36.03,High,1,2026-08-02T10:18:51.132158+00:00
38,2026-06-21,18,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,2,America/New_York,31.4,58,35.3,0.4,7.0,82,35.18,High,1,2026-08-02T10:18:55.470532+00:00
39,2026-06-21,21,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,8,America/Los_Angeles,16.7,73,16.0,0.0,8.4,5,16.7,Low,0,2026-08-02T10:18:57.281569+00:00
40,2026-06-21,23,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,7,America/New_York,25.4,38,25.1,0.0,1.9,92,25.4,Low,0,2026-08-02T10:19:01.512858+00:00
41,2026-06-22,15,Dallas Stadium (AT&T Stadium),Arlington,USA,184,America/Chicago,35.0,48,39.1,0.0,15.2,26,39.91,Extreme,1,2026-08-02T10:19:07.232172+00:00
42,2026-06-22,18,Toronto Stadium (BMO Field),Toronto,CAN,76,America/Toronto,17.8,77,17.8,0.0,8.3,30,17.8,Low,0,2026-08-02T10:19:12.595444+00:00
43,2026-06-22,21,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,538,America/Mexico_City,28.3,67,31.6,0.0,8.9,6,30.83,Moderate,0,2026-08-02T10:19:14.469732+00:00
44,2026-06-22,23,Boston Stadium (Gillette Stadium),Foxborough,USA,87,America/New_York,16.6,97,16.7,0.1,13.8,100,16.6,Low,0,2026-08-02T10:19:19.076778+00:00
45,2026-06-23,15,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,264,America/Chicago,25.9,54,28.0,0.0,9.4,98,25.9,Low,0,2026-08-02T10:19:24.623170+00:00
46,2026-06-23,18,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,3,America/New_York,20.2,89,21.6,0.2,11.3,100,20.2,Low,0,2026-08-02T10:19:26.448062+00:00
47,2026-06-23,21,Seattle Stadium (Lumen Field),Seattle,USA,3,America/Los_Angeles,26.3,30,23.9,0.0,11.7,2,26.3,Low,0,2026-08-02T10:19:31.418639+00:00
48,2026-06-23,23,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,2200,America/Mexico_City,15.4,85,15.7,0.1,4.5,48,15.4,Low,0,2026-08-02T10:19:33.286988+00:00
49,2026-06-24,18,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,2200,America/Mexico_City,20.2,62,20.6,3.1,2.7,55,20.2,Low,0,2026-08-02T10:19:37.936091+00:00
50,2026-06-24,18,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,1566,America/Mexico_City,20.5,78,21.0,1.8,12.6,51,20.5,Low,0,2026-08-02T10:19:42.917794+00:00
