match_id,utc_date,status,matchday,stage,group_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score_home_ft,score_away_ft,score_home_ht,score_away_ht,winner,duration,referee_name,referee_nationality,venue_name,venue_city,venue_country,venue_has_ac,venue_latitude,venue_longitude,venue_timezone,collected_at
537348,2026-06-19T19:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_D,771.0,United States,USA,779.0,Australia,AUS,2.0,0.0,2.0,0.0,HOME_TEAM,REGULAR,Felix Zwayer,Germany,,,,,,,,2026-06-29T08:56:57.700631+00:00
537349,2026-06-26T02:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_D,803.0,Turkey,TUR,771.0,United States,USA,3.0,2.0,2.0,1.0,HOME_TEAM,REGULAR,Mustapha Ghorbal,,,,,,,,,2026-06-29T08:56:57.700847+00:00
537350,2026-06-26T02:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_D,761.0,Paraguay,PAR,779.0,Australia,AUS,0.0,0.0,0.0,0.0,DRAW,REGULAR,Clément Turpin,France,,,,,,,,2026-06-29T08:56:57.700855+00:00
537351,2026-06-14T17:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_E,759.0,Germany,GER,9460.0,Curaçao,CUW,7.0,1.0,3.0,1.0,HOME_TEAM,REGULAR,Jalal Jayed,Morocco,,,,,,,,2026-06-29T08:56:57.700368+00:00
537352,2026-06-14T23:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_E,1935.0,Ivory Coast,CIV,791.0,Ecuador,ECU,1.0,0.0,0.0,0.0,HOME_TEAM,REGULAR,François Letexier,France,,,,,,,,2026-06-29T08:56:57.700439+00:00
537353,2026-06-20T20:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_E,759.0,Germany,GER,1935.0,Ivory Coast,CIV,2.0,1.0,0.0,1.0,HOME_TEAM,REGULAR,Juan Benítez,Paraguay,,,,,,,,2026-06-29T08:56:57.700667+00:00
537354,2026-06-21T00:00:00Z,FINISHED,2.0,GROUP_STAGE,GROUP_E,791.0,Ecuador,ECU,9460.0,Curaçao,CUW,0.0,0.0,0.0,0.0,DRAW,REGULAR,Ning Ma,China PR,,,,,,,,2026-06-29T08:56:57.700674+00:00
537355,2026-06-25T20:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_E,791.0,Ecuador,ECU,759.0,Germany,GER,2.0,1.0,1.0,1.0,HOME_TEAM,REGULAR,Tori Penso,USA,,,,,,,,2026-06-29T08:56:57.700819+00:00
537356,2026-06-25T20:00:00Z,FINISHED,3.0,GROUP_STAGE,GROUP_E,9460.0,Curaçao,CUW,1935.0,Ivory Coast,CIV,0.0,2.0,0.0,1.0,AWAY_TEAM,REGULAR,Glenn Nyberg,Sweden,,,,,,,,2026-06-29T08:56:57.700826+00:00
537357,2026-06-14T20:00:00Z,FINISHED,1.0,GROUP_STAGE,GROUP_F,8601.0,Netherlands,NED,766.0,Japan,JPN,2.0,2.0,0.0,0.0,DRAW,REGULAR,Ismail Elfath,United States,,,,,,,,2026-06-29T08:56:57.700427+00:00
