dey_match_id,phase,round,home_team,away_team,n_commentary,data_source,collection_method,verified,hb_number,half,hb_actual_minute,deviation_from_target,loaded_at,home_norm,away_norm,kaggle_match_id,date
12813010,Knockout,Round of 16,Paraguay,France,107,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Paraguay,France,89.0,2026-07-04
12813010,Knockout,Round of 16,Paraguay,France,107,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,73,6,2026-08-02T10:15:38.586814+00:00,Paraguay,France,89.0,2026-07-04
12813006,Knockout,Round of 16,Brazil,Norway,81,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,27,5,2026-08-02T10:15:38.586814+00:00,Brazil,Norway,91.0,2026-07-05
12813006,Knockout,Round of 16,Brazil,Norway,81,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Brazil,Norway,91.0,2026-07-05
12813007,Knockout,Round of 16,Mexico,England,117,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Mexico,England,92.0,2026-07-06
12813007,Knockout,Round of 16,Mexico,England,117,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,71,4,2026-08-02T10:15:38.586814+00:00,Mexico,England,92.0,2026-07-06
12812990,Knockout,Round of 16,Portugal,Spain,107,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Portugal,Spain,93.0,2026-07-06
12812990,Knockout,Round of 16,Portugal,Spain,107,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,68,1,2026-08-02T10:15:38.586814+00:00,Portugal,Spain,93.0,2026-07-06
12813002,Knockout,Round of 16,USA,Belgium,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,24,2,2026-08-02T10:15:38.586814+00:00,United States,Belgium,,
12813002,Knockout,Round of 16,USA,Belgium,103,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,69,2,2026-08-02T10:15:38.586814+00:00,United States,Belgium,,
12812993,Knockout,Round of 16,Argentina,Egypt,115,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Argentina,Egypt,95.0,2026-07-07
12812993,Knockout,Round of 16,Argentina,Egypt,115,Dey (2026) arXiv:2607.19783,Live text commentary,1,2,2,71,4,2026-08-02T10:15:38.586814+00:00,Argentina,Egypt,95.0,2026-07-07
12812991,Knockout,Round of 16,Switzerland,Colombia,178,Dey (2026) arXiv:2607.19783,Live text commentary,1,1,1,23,1,2026-08-02T10:15:38.586814+00:00,Switzerland,Colombia,96.0,2026-07-07
